name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
GET /assets/app/js/controllers/connaissancesCtrl.js	10	10	0	170	170	-1	420	420	-1	282	282	-1	83	83	-1	420	420	-1	420	420	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/images/presentation/diapo_4.png	10	10	0	330	330	-1	380	380	-1	346	346	-1	16	16	-1	380	380	-1	380	380	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/index.js	10	10	0	140	140	-1	220	220	-1	167	167	-1	22	22	-1	220	220	-1	220	220	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/technos.html	10	10	0	140	140	-1	390	390	-1	185	185	-1	70	70	-1	390	390	-1	390	390	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/technos/main.html	10	10	0	150	150	-1	260	260	-1	177	177	-1	33	33	-1	260	260	-1	260	260	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/websocketService.js	10	10	0	140	140	-1	430	430	-1	288	288	-1	101	101	-1	430	430	-1	430	430	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/planCtrl.js	10	10	0	160	160	-1	540	540	-1	357	357	-1	113	113	-1	540	540	-1	540	540	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /championnats	10	10	0	280	280	-1	630	630	-1	461	461	-1	113	113	-1	630	630	-1	630	630	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /club	10	10	0	200	200	-1	280	280	-1	227	227	-1	24	24	-1	280	280	-1	280	280	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1

